,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
163,Dawei,14.07,83.03,74,100,1.99
164,Hohhot,40.81,55.4,47,0,4.47
165,Komsomolskiy,67.55,27.41,96,78,4.32
166,Pucallpa,-8.38,92.75,36,0,2.62
167,Hit,33.64,95.99,18,0,11.43
168,Praya,-8.71,73.4,100,40,11.36
169,Barra do Garcas,-15.89,86.0,45,0,9.17
170,Innisfail,52.02,35.02,100,90,9.17
171,Tuktoyaktuk,69.44,48.2,61,20,11.41
172,Sao Paulo de Olivenca,-3.38,89.87,60,0,0.85
173,Dubbo,-32.25,50.0,87,99,10.29
174,Isangel,-19.55,72.77,71,100,22.21
175,Karratha,-20.74,72.05,70,14,9.42
176,Goya,-29.14,75.47,63,100,7.38
177,Salinopolis,-0.61,83.57,75,20,12.97
178,Gorontalo,0.54,77.63,87,56,3.47
179,Benguela,-12.58,75.47,80,79,11.27
180,Koslan,63.46,55.13,78,1,3.83
181,Yuanping,38.72,60.71,59,100,6.82
182,Locri,38.24,74.64,64,5,4.7
183,Salalah,17.01,87.8,70,20,5.82
184,Abu Zabad,12.35,92.75,38,80,12.3
185,Maine-Soroa,13.21,97.43,33,90,11.9
186,Werda,50.44,72.73,64,20,12.75
187,Stirling,56.12,56.98,82,20,8.05
188,Ciudad Guayana,8.32,93.29,46,91,9.42
189,Oudtshoorn,-33.59,64.4,31,0,10.29
190,Seoul,37.57,61.3,100,1,2.24
191,Mgachi,51.05,43.97,89,60,6.71
192,Weligama,5.97,84.29,81,100,20.6
193,Severo-Kurilsk,50.68,39.11,97,99,3.02
194,Betamcherla,15.47,88.61,49,100,7.61
195,Piranhas,-9.61,78.8,78,75,9.17
196,Caxito,-22.65,76.12,60,40,16.11
197,Mount Darwin,-16.77,59.09,41,0,3.76
198,Jati,24.35,89.15,57,0,17.38
199,Carutapera,-1.2,86.27,65,9,6.44
200,Jagdalpur,19.09,86.45,52,100,10.02
201,Sorong,-0.86,76.37,95,94,1.32
202,Glenwood Springs,39.55,69.6,32,1,9.78
203,Yulara,-25.24,33.8,59,0,4.7
204,Melilla,-0.8,80.6,78,75,9.17
205,Palmer,-34.85,49.8,76,0,8.05
206,Paamiut,61.99,38.57,87,99,5.5
207,Padang,-0.92,77.0,100,40,6.93
208,Kichera,55.93,40.01,93,66,1.63
209,Americus,32.07,87.08,70,75,6.93
210,Beloha,-25.17,68.99,74,9,5.26
211,Kavaratti,10.57,83.39,75,100,7.4
212,Ivankiv,50.93,78.8,47,83,6.71
213,Tura,25.52,81.05,79,100,6.26
214,Nizhniy Kuranakh,58.84,52.61,68,100,3.27
215,Montepuez,-13.13,69.53,74,27,4.09
216,Saint-Francois,46.42,64.29,48,0,13.87
217,Novyy Urengoy,66.08,47.03,81,15,15.7
218,Houston,29.76,88.45,55,40,6.93
219,Broken Hill,-31.97,37.4,86,0,4.7
220,Barmer,25.74,99.23,10,0,3.11
221,College,64.86,57.11,67,75,2.24
222,Bozoum,6.31,68.81,94,100,4.29
223,Pangkalanbuun,-2.68,74.75,99,85,0.43
224,Ampanihy,-24.69,68.99,85,21,6.04
225,Coihaique,-45.58,48.2,76,90,3.36
226,Concordia,-31.4,68.0,68,75,8.05
227,Retsag,47.93,78.06,47,0,4.7
228,Kedougou,12.56,104.63,14,7,2.51
229,Kodinsk,58.6,56.93,56,51,4.7
230,Ondangwa,-17.91,80.6,11,0,3.36
231,Xining,36.62,49.01,77,95,3.38
232,Petrivka,48.39,70.25,71,67,9.08
233,Chokurdakh,70.62,42.71,54,20,5.08
234,Goderich,43.74,65.43,86,0,11.79
235,Iqaluit,63.75,50.0,57,75,5.82
236,Kasongo,-4.43,79.25,45,1,1.88
237,Ledyard,41.44,77.23,68,75,6.93
238,Pangnirtung,66.15,41.0,86,90,9.17
239,Mae Sai,20.44,82.4,83,20,3.36
240,Khovu-Aksy,51.13,55.31,83,92,5.53
241,Benghazi,32.12,76.19,52,5,16.98
242,Geraldton,49.72,71.6,40,40,8.05
243,Gat,14.69,78.8,61,0,16.11
244,Westport,53.8,55.71,71,75,11.41
245,Mudigere,13.13,74.93,92,100,0.47
246,Manati,41.76,75.2,69,0,5.82
247,Krasnoye,44.87,72.14,47,20,17.9
248,Duncan,34.5,80.89,61,40,12.75
249,Labateca,7.3,86.0,51,40,23.04
250,Lima,-12.06,64.4,82,90,6.93
251,Morondava,-20.3,80.33,72,0,16.62
252,Neuquen,-38.95,51.8,53,0,4.7
253,Marsh Harbour,26.54,81.41,76,49,7.11
254,Kunming,25.04,67.73,72,0,22.37
255,Comodoro Rivadavia,-45.87,59.0,44,0,28.86
256,Snezhnogorsk,69.19,77.0,31,0,11.18
257,Hambantota,6.12,82.67,82,100,18.54
258,Uyemskiy,64.47,69.8,49,0,2.24
259,Havelock,34.88,82.38,65,40,11.41
260,Aklavik,68.22,57.2,28,20,9.17
261,Entre Rios,-11.94,75.83,84,34,9.48
262,Havoysund,71.0,55.4,71,0,10.29
263,Northam,51.04,55.26,82,40,8.05
264,Pinheiro Machado,-31.58,63.23,91,90,11.05
265,Santa Maria,-29.69,78.8,47,0,11.41
266,Tazmalt,36.39,73.4,64,75,8.05
267,Okha,53.59,38.39,90,81,9.26
268,Plettenberg Bay,-34.05,61.25,28,0,5.26
269,Sisimiut,66.94,40.19,83,77,2.3
270,Port Elizabeth,39.31,78.01,54,1,5.82
271,Kloulklubed,7.04,78.8,88,90,8.05
272,Laguna,27.52,84.2,51,5,5.82
273,Norman Wells,65.28,53.6,46,20,12.75
274,Beringovskiy,63.05,47.03,80,2,4.85
275,Morant Bay,17.88,87.8,66,20,21.92
276,Saint Anthony,43.97,51.42,71,90,10.29
277,Port Hueneme,34.15,63.34,87,90,5.82
278,West Wendover,40.74,68.0,40,1,8.05
279,Los Angeles,34.05,65.61,68,75,6.93
280,Necochea,-38.55,59.05,57,0,8.01
281,San Patricio,-26.98,77.81,61,60,4.09
282,Anori,-3.74,90.05,59,81,2.06
283,Baft,29.23,67.37,20,63,7.25
284,Paso de los Toros,-32.81,64.4,68,40,5.82
285,Mogadishu,2.04,78.17,80,5,10.58
286,Kungurtug,50.6,52.97,78,84,2.53
287,Atar,20.52,101.57,9,0,10.0
288,Iranshahr,27.21,98.6,11,0,4.7
289,Jumla,29.28,49.01,47,0,4.61
290,Willmar,45.12,86.99,35,1,6.93
291,Fez,34.03,79.47,28,20,10.29
292,Kamina,-8.74,67.19,40,47,3.56
293,Herat,34.35,82.4,24,0,12.75
294,Susaki,33.42,70.0,75,100,5.01
295,Mahebourg,-20.41,74.37,88,40,18.34
296,Nacala,-14.56,69.89,95,5,4.52
297,Santa Cruz,36.97,61.72,62,1,23.4
298,Howard Springs,-12.5,68.95,40,69,9.17
299,San Cristobal,-0.39,65.08,40,75,6.93
300,Tete,-16.16,78.8,54,20,10.29
301,Grafton,-29.69,54.59,100,40,2.57
302,Kondinskoye,59.65,59.99,49,86,20.38
303,Kamiiso,41.82,53.87,99,100,4.68
304,Kupang,-10.16,77.0,78,29,11.41
305,Axim,4.87,77.45,89,100,9.13
306,Birao,10.3,86.45,51,64,9.91
307,Laiyang,36.98,68.27,58,82,6.93
308,Bariadi,-2.8,76.73,45,96,5.61
309,Mabaruma,8.2,81.59,85,100,5.32
310,Lerwick,60.15,56.3,76,0,4.7
311,Renfrew,55.88,58.42,55,98,16.11
312,Kruisfontein,-34.0,57.65,31,0,7.85
313,Georgetown,6.8,84.2,74,40,13.87
314,Bata,1.87,84.2,79,40,10.29
315,Abu Samrah,35.3,88.43,24,77,13.15
316,Formosa do Rio Preto,-11.04,85.01,43,50,8.16
317,Copiapo,-27.37,57.2,71,75,14.99
318,Puerto Escondido,15.86,87.8,66,40,8.05
319,Constitucion,23.99,79.92,24,20,9.17
320,Charters Towers,-20.07,61.79,91,100,20.6
321,Ucluelet,48.94,55.08,87,75,5.82
322,Yeppoon,-23.13,62.6,88,75,3.36
323,Dingle,11.0,77.99,79,44,5.79
324,Bako,9.68,86.81,55,83,6.49
325,Chimbote,-9.08,63.41,90,21,12.68
326,Medea,36.27,75.2,53,40,6.93
327,Nantucket,41.28,71.22,72,40,8.05
328,Aurillac,44.93,60.82,54,90,12.75
329,San Jose,15.79,81.95,71,100,4.47
330,Vestmanna,62.16,44.6,93,94,14.99
331,Shimoda,34.7,63.77,94,75,1.12
332,Dahra,36.25,82.4,21,0,8.05
333,Beyneu,45.32,84.11,22,11,15.73
334,Ancud,-41.87,51.8,93,75,12.75
335,Grand-Santi,4.27,82.13,91,67,4.07
336,Lasa,34.92,71.69,83,0,13.87
337,Biak,-0.91,65.39,99,99,1.88
338,Namibe,-15.19,71.6,78,75,17.22
339,Tromso,69.65,66.31,67,40,11.41
340,Ostrovnoy,68.05,51.71,72,0,12.57
341,North Bend,43.41,55.58,71,40,5.82
342,Bulgan,48.81,49.19,58,0,2.73
343,Nizwa,22.93,93.47,20,87,5.79
344,Hammerfest,70.66,55.4,71,0,10.29
345,Mineiros,-17.57,79.43,49,96,5.3
346,Vostok,46.45,48.29,95,0,2.91
347,Los Llanos de Aridane,28.66,68.74,53,40,6.93
348,East London,-33.02,53.6,87,0,9.17
349,Mantua,45.16,77.45,41,20,6.93
350,Ous,60.91,53.15,56,0,7.11
351,Nanortalik,60.14,43.79,68,10,22.48
352,Maromitsa,59.87,60.35,82,63,4.29
353,San Cayetano,5.33,86.81,50,100,3.27
354,Miraflores,5.2,66.83,69,69,4.9
355,Ponta do Sol,-20.63,71.33,52,0,0.92
356,Ust-Nera,64.57,38.21,53,0,2.42
357,Arman,59.7,47.93,85,96,3.87
358,Birsk,55.42,56.03,78,90,7.58
359,Kenai,60.55,53.67,67,75,3.13
360,Darhan,49.49,52.79,54,0,1.54
361,Rocha,-34.48,62.69,55,64,10.09
362,Jutai,-1.71,90.41,51,43,5.55
363,Mareeba,-16.99,69.12,88,40,13.87
364,Dogondoutchi,13.64,104.09,23,83,7.07
365,La Huacana,18.96,73.72,78,75,9.17
366,Vilyuysk,63.75,55.13,42,96,6.62
367,Eureka,40.8,57.81,71,1,14.99
368,Naryan-Mar,67.67,56.03,69,57,6.85
369,Airai,-8.93,74.93,79,43,7.92
370,Shar,7.3,81.41,70,100,3.42
371,Gweta,-20.21,71.51,12,0,5.66
372,Vilhena,-12.74,84.2,62,40,10.29
373,Talara,-4.58,62.6,290,0,9.17
374,Katsuura,33.93,72.55,69,75,12.75
375,Morehead,38.18,68.09,94,40,5.82
376,Ixtapa,20.71,83.26,61,20,10.74
377,Bethanien,-26.5,60.71,27,0,6.02
378,Lalsot,26.56,98.6,13,0,3.36
379,Oranjemund,-28.55,58.37,76,0,20.51
380,Pacific Grove,36.62,59.86,76,1,8.05
381,Tomatlan,19.93,88.79,58,73,8.12
382,Praia da Vitoria,38.73,70.11,64,20,15.93
383,Plainview,34.18,77.58,60,1,3.38
384,Soddy-Daisy,35.24,76.48,83,75,5.82
385,Pontianak,-0.02,75.2,100,75,4.74
386,Sabirabad,40.01,80.6,39,75,9.17
387,Tucurui,-3.77,89.51,50,55,6.08
388,Olinda,-2.03,80.6,78,90,4.7
389,Borodino,55.9,58.19,87,100,16.89
390,Viedma,-40.81,62.33,32,29,18.28
391,Lujan,-46.57,52.97,44,99,25.99
392,Rudnogorsk,57.27,51.35,63,45,2.26
393,Maiduguri,11.84,90.41,42,99,9.57
394,Wanning,48.64,76.98,57,0,13.87
395,Husavik,50.56,89.1,26,100,3.0
396,Bambous Virieux,-20.34,74.32,88,40,18.34
397,Bayir,37.27,80.85,61,0,12.75
398,Sao Joao da Barra,-21.64,73.99,69,75,9.17
399,Narsaq,60.91,62.6,23,20,11.41
400,Puerto Leguizamo,-0.19,90.41,47,58,3.04
401,Maniitsoq,65.42,46.49,67,78,3.42
402,Honiara,-9.43,75.2,100,40,5.64
403,Lyantonde,-0.41,66.11,86,80,1.54
404,Mindelo,41.31,62.91,67,40,8.05
405,Bassano,50.79,50.81,70,94,8.01
406,Yerbogachen,61.28,51.71,77,48,1.23
407,Nemuro,43.32,48.83,95,100,4.88
408,Zyryanskoye,56.83,55.67,85,100,6.06
409,Christchurch,-43.53,48.0,73,99,1.01
410,Kargasok,59.06,53.51,84,53,4.68
411,Ballina,54.11,55.35,71,75,11.41
412,Athabasca,54.72,50.09,44,100,13.69
413,Nagua,19.37,87.08,66,40,6.93
414,Skibbereen,51.55,55.4,71,75,13.87
415,Carnarvon,-30.97,51.71,32,0,6.53
416,Kapit,2.02,74.75,97,100,0.69
417,Kiama,-34.67,52.05,100,52,9.17
418,Novouzensk,50.46,64.49,54,0,9.62
419,Scarborough,54.28,55.47,87,98,17.22
420,Fort Nelson,58.81,48.2,61,75,6.93
421,Coahuayana,18.62,96.53,42,100,2.24
422,Plochingen,48.71,76.62,47,40,10.29
423,Shibetsu,44.15,46.67,99,61,3.2
424,Jalu,29.03,90.95,15,51,9.71
425,Biltine,14.53,85.55,56,99,21.32
426,Havre-Saint-Pierre,50.23,57.2,41,75,12.75
427,Nizhnyaya Tavda,57.67,60.71,50,98,14.14
428,Kondagaon,19.59,85.91,54,100,6.49
429,Ahipara,-35.17,60.17,75,86,30.06
430,Yar-Sale,66.83,37.49,90,99,14.99
431,Baracoa,20.35,85.37,69,39,9.86
432,Two Hills,53.71,40.01,89,100,20.09
433,Sechura,-5.56,70.61,76,0,11.63
434,Luanda,-8.83,73.4,83,20,8.05
435,Lumphat,13.5,77.09,88,91,3.44
436,Mugan,35.94,52.43,67,98,6.29
437,Santander Jimenez,24.22,101.39,28,5,2.93
438,Rangapara,26.82,72.59,75,86,3.76
439,Sheridan,39.65,81.72,26,40,3.36
440,Harindanga,22.04,80.6,88,40,5.82
441,Huarmey,-10.07,62.69,89,83,11.56
442,Monrovia,6.33,86.0,74,75,6.93
443,Le Havre,49.49,53.92,87,90,27.51
444,Rimbey,52.64,33.8,100,90,9.17
445,Vestmannaeyjar,63.44,50.0,81,40,11.41
446,Ratzeburg,53.7,71.62,60,0,10.29
447,Warragul,-38.16,41.2,93,0,5.68
448,Praia,-20.25,74.61,36,0,5.82
449,Tamiahua,21.28,88.43,75,100,4.74
450,Tuatapere,-46.13,51.17,64,100,39.64
451,Lompoc,34.64,62.26,63,1,10.29
452,Karpogory,64.0,61.97,54,0,5.79
453,Flin Flon,54.77,55.4,87,90,3.36
454,Buchanan,5.88,86.0,74,75,6.93
455,Riachao,-7.36,88.25,50,52,8.93
456,Curup,-3.47,68.27,99,100,2.8
457,Zalantun,48.0,57.29,97,100,9.28
458,Yerofey Pavlovich,53.97,54.59,62,41,3.36
459,Mahibadhoo,3.78,83.03,81,100,14.81
460,Vrangel,42.73,53.87,96,86,1.48
461,Mount Isa,-20.73,48.2,81,0,1.12
462,Almirante Tamandare,-25.32,71.19,56,0,9.17
463,Erzin,36.95,80.15,54,0,18.34
464,Cunha,-23.08,74.26,47,20,2.24
465,Sorland,67.67,52.61,81,40,18.34
466,Egvekinot,66.32,45.95,79,81,4.79
467,Berlevag,70.86,45.82,93,75,20.8
468,Byron Bay,-28.65,57.47,93,75,8.05
469,Kangaatsiaq,68.31,36.77,93,100,11.25
470,Mabopane,-25.51,55.98,21,0,4.12
471,Tessalit,20.2,107.69,6,0,8.5
472,Elizabeth City,36.3,79.61,69,90,8.05
473,Cleethorpes,53.56,56.17,93,100,29.97
474,Vigeland,58.46,63.05,63,0,11.41
475,Matagami,9.67,76.91,72,100,6.78
476,Zunyi,27.73,70.79,91,83,4.38
477,Madang,-5.21,71.15,99,100,1.25
478,Te Anau,-45.41,41.09,93,97,5.44
479,Banyo,6.75,65.21,90,99,1.57
480,Soyo,-6.13,78.8,78,20,8.05
481,Chazuta,-6.57,62.6,290,40,4.7
482,Namatanai,-3.66,78.17,89,100,9.26
483,Sherbakul,54.63,46.4,93,75,6.71
484,Kurilsk,45.23,45.77,91,1,3.27
485,Rio Gallegos,-51.62,41.0,86,75,2.24
486,Marystown,47.17,62.87,68,70,7.4
487,Bubaque,11.28,78.71,78,26,17.4
488,Gurupi,-11.73,88.79,40,68,8.08
489,Seydi,13.34,95.0,47,0,4.7
490,Touros,-5.2,86.0,62,40,11.41
491,Warmbad,50.67,72.28,64,20,12.75
492,Saldanha,41.42,62.69,40,93,8.72
493,Flinders,-34.58,52.38,93,98,6.93
494,Sur,22.57,95.99,41,0,10.29
495,Alugan,12.22,79.07,88,71,4.0
496,Nouakchott,18.08,77.0,61,0,24.16
497,Gizo,31.8,75.45,78,20,12.75
498,Teahupoo,-17.83,75.09,83,20,4.7
499,Temir,49.14,58.73,63,0,11.54
500,Coimbra,40.21,64.56,55,20,14.99
501,Lata,30.78,34.61,59,9,9.75
502,Haines Junction,60.75,55.49,36,38,1.5
503,Clinton,41.84,79.43,57,40,13.87
504,Wageningen,51.98,60.22,72,90,17.22
505,Coffs Harbour,-30.3,55.42,93,90,10.29
506,Isiro,2.77,70.79,87,94,0.56
507,Maningrida,-12.05,73.31,84,86,12.75
508,Wajid,3.81,82.31,61,12,18.01
509,Manado,1.49,77.0,94,40,2.24
510,Quatre Cocos,-20.21,74.26,88,40,18.34
511,Malabo,1.56,66.29,93,100,1.3
512,Port-Gentil,-0.72,78.8,83,20,11.41
513,Ola,59.58,44.33,78,29,9.89
514,Belmonte,40.36,64.4,48,1,8.52
515,Sault Sainte Marie,46.49,75.2,44,1,3.36
516,Vysokopillya,47.49,71.6,68,0,4.47
517,Ternate,14.29,85.3,70,20,9.17
518,San Carlos de Bariloche,-41.13,42.8,87,75,21.92
519,Mastic,40.8,74.44,73,1,5.82
520,Zhigalovo,54.81,49.91,62,11,2.26
521,Berezovka,57.6,53.51,75,69,6.73
522,Gao,16.28,110.57,8,84,9.51
523,Bakuriani,41.75,63.23,97,74,3.38
524,Mach,29.87,75.83,14,0,1.81
525,Dom Pedrito,-30.98,64.4,82,75,10.29
526,Dongsheng,29.72,77.99,67,0,4.56
527,Erenhot,43.65,62.87,32,0,9.55
528,Gonbad-e Qabus,37.25,85.05,42,0,6.93
529,El Doncello,1.68,86.63,40,48,4.47
530,Murillo,4.87,69.87,100,75,2.24
531,Kroya,-6.5,76.19,83,70,4.27
532,Miguel Alves,-4.17,89.87,49,33,5.03
533,Roebourne,-20.77,69.53,72,27,8.1
534,Mglin,53.06,68.27,88,77,6.4
535,Stromness,42.87,75.85,41,20,6.93
536,Lavrentiya,65.58,51.89,65,3,0.36
537,Coquimbo,-29.95,66.6,55,0,12.75
538,Leirvik,59.78,60.78,67,0,6.93
539,Ferme-Neuve,46.7,69.71,29,0,11.48
540,Mokhotlong,-29.29,34.79,3,0,5.91
541,Funadhoo,6.15,84.11,79,100,15.77
542,Novyy Svit,47.81,74.57,57,5,7.34
543,Chapais,49.78,55.4,34,20,16.11
544,Verkhoyansk,67.55,50.45,41,52,1.79
545,Muhos,64.81,82.11,37,0,3.36
546,Paka,45.29,82.4,54,0,5.82
547,Goundam,16.42,108.23,6,99,7.4
548,Itamaraju,-17.04,73.13,78,30,7.58
549,Dutlwe,-23.98,63.23,19,0,7.47
550,Dunedin,-45.87,50.0,75,96,24.0
551,Mentougou,39.94,76.69,83,0,2.24
552,Saint-Pierre,48.95,59.86,77,75,21.92
553,Dakor,22.75,93.2,59,1,9.17
554,Sydney,-33.85,51.39,93,40,4.7
555,Solano,16.52,65.93,89,95,2.28
556,Marihatag,8.8,74.75,89,90,1.61
557,Merauke,-8.49,80.87,80,81,24.9
